people_per_household,avg_house_value
2.4158878504672896,500001
2.0339195979899496,500001
1.9470588235294117,500001
3.248031496062992,500001
2.721518987341772,500001
4.669856459330144,500001
2.0996309963099633,500001
2.200374531835206,500001
2.861607142857143,500001
1.59375,500001
2.3440860215053765,500001
2.5228426395939088,500001
2.6372549019607843,500001
2.9646365422396856,500001
3.314814814814815,500001
3.0306513409961684,500001
2.023529411764706,500001
2.2378048780487805,500001
2.587096774193548,500001
2.580267558528428,500001
2.3927576601671308,500001
1.7567164179104477,500001
3.2979166666666666,500001
1.822085889570552,500001
2.3268482490272375,500001
2.2942528735632184,500001
2.9547872340425534,500001
2.708010335917313,500001
1.394927536231884,500001
3.5474613686534218,500001
3.1048387096774195,500001
2.279742765273312,500001
2.4686226568867156,500001
2.6563636363636363,500001
1.7394190871369295,500001
1.7884297520661157,500001
1.492537313432836,500001
3.1778975741239894,500001
2.255434782608696,500001
3.058673469387755,500001
2.976525821596244,500001
2.35752688172043,500001
2.1327433628318584,500001
3.1517857142857144,500001
2.2756097560975608,500001
5.396,500001
2.7684887459807075,500001
1.9137931034482758,500001
1.9859154929577465,500001
2.663685152057245,500001
1.5284738041002277,500001
1.7922705314009661,500001
1.79136690647482,500001
1.4200803212851405,500001
2.431519699812383,500001
2.8160919540229883,500001
2.181614349775785,500001
1.4793028322440087,500001
2.4272727272727272,500001
2.844884488448845,500001
3.1713709677419355,500001
2.7943548387096775,500001
3.169278996865204,500001
2.6198347107438016,500001
2.300531914893617,500001
2.3792134831460676,500001
1.7993103448275862,500001
2.246268656716418,500001
1.431640625,500001
2.906474820143885,500001
2.9244186046511627,500001
3.384313725490196,500001
1.888544891640867,500001
2.35969868173258,500001
2.2531785516860143,500001
2.0264550264550265,500001
2.315436241610738,500001
2.361111111111111,500001
1.6253132832080202,500001
1.275,500001
3.0583700440528636,500001
1.5799011532125207,500001
2.735812133072407,500001
3.193832599118943,500001
2.5870445344129553,500001
1.345505617977528,500001
2.0454545454545454,500001
2.053956834532374,500001
1.7158948685857323,500001
1.6066176470588236,500001
2.127388535031847,500001
2.7329545454545454,500001
2.285140562248996,500001
1.7014478282576135,500001
2.8284313725490198,500001
2.288135593220339,500001
3.091286307053942,500001
2.72488038277512,500001
2.07942238267148,500001
2.8307086614173227,500001
4.658823529411765,500001
2.9964664310954063,500001
2.553784860557769,500001
2.242744063324538,500001
1.8588957055214723,500001
2.783333333333333,500001
2.485074626865672,500001
2.2140468227424748,500001
2.543103448275862,500001
2.754039497307002,500001
1.4364851957975167,500001
3.319884726224784,500001
2.6497175141242937,500001
2.9702970297029703,500001
3.1331658291457285,500001
3.19435736677116,500001
2.889328063241107,500001
3.017684887459807,500001
1.9243697478991597,500001
1.8429951690821256,500001
3.0701219512195124,500001
2.149812734082397,500001
2.6685082872928176,500001
2.259450171821306,500001
1.4301606922126082,500001
2.0488322717622083,500001
2.3662952646239552,500001
2.0779220779220777,500001
1.685483870967742,500001
2.8793565683646114,500001
2.2957393483709274,500001
1.9937694704049844,500001
1.9884259259259258,500001
2.1386481802426345,500001
3.2880434782608696,500001
2.792105263157895,500001
2.835214446952596,500001
2.411111111111111,500001
2.417569193742479,500001
1.5350553505535056,500001
3.3697234352256187,500001
3.510204081632653,500001
1.4725099601593625,500001
1.997830802603037,500001
2.884160756501182,500001
1.8536953242835597,500001
2.6826568265682655,500001
1.9817351598173516,500001
1.9311377245508983,500001
2.9016018306636155,500001
2.781021897810219,500001
2.8613138686131387,500001
2.1432664756446993,500001
2.190305206463196,500001
2.6733333333333333,500001
2.2053140096618358,500001
2.5189003436426116,500001
2.6513994910941476,500001
2.9479166666666665,500001
1.7934990439770555,500001
2.5132743362831858,500001
1.8486842105263157,500001
2.458064516129032,500001
1.4157608695652173,500001
3.1770114942528735,500001
2.6442953020134228,500001
2.7890818858560795,500001
2.9968652037617556,500001
3.0013850415512464,500001
2.7751141552511416,500001
3.0322255790533736,500001
2.200413223140496,500001
2.9327354260089686,500001
1.884413309982487,500001
2.6831683168316833,500001
1.9201388888888888,500001
41.214285714285715,500001
2.3577981651376145,500001
2.8807692307692307,500001
3.2209302325581395,500001
2.2746478873239435,500001
1.667832167832168,500001
2.598076923076923,500001
1.8904109589041096,500001
2.766509433962264,500001
1.783362218370884,500001
2.093206064008984,500001
2.575925925925926,500001
2.553054662379421,500001
2.6948051948051948,500001
3.471830985915493,500001
2.1646586345381524,500001
2.9257142857142857,500001
2.4310344827586206,500001
2.9835443037974683,500001
3.1867469879518073,500001
1.7513513513513514,500001
2.7773722627737225,500001
2.3798076923076925,500001
2.9889807162534434,500001
2.058472553699284,500001
1.4112359550561797,500001
2.8172205438066467,500001
1.8755760368663594,500001
2.8266666666666667,500001
2.8327759197324416,500001
1.5076923076923077,500001
2.6887608069164264,500001
2.143939393939394,500001
2.744186046511628,500001
2.2593457943925235,500001
3.15702479338843,500001
2.0805369127516777,500001
1.9098939929328622,500001
1.7945516458569808,500001
2.8414918414918415,500001
1.6388888888888888,500001
2.4885057471264367,500001
2.127659574468085,500001
2.3993055555555554,500001
2.391674550614948,500001
2.436974789915966,500001
2.022292993630573,500001
1.6623563218390804,500001
1.6823161189358373,500001
2.116883116883117,500001
1.6346153846153846,500001
1.8964646464646464,500001
3.112271540469974,500001
2.479338842975207,500001
1.6740196078431373,500001
2.5584415584415585,500001
2.4732824427480917,500001
2.981651376146789,500001
2.4508816120906802,500001
2.9941747572815536,500001
2.654014598540146,500001
2.352836879432624,500001
2.594170403587444,500001
2.248206599713056,500001
2.838403041825095,500001
1.921641791044776,500001
1.559782608695652,500001
1.5682758620689654,500001
2.6305220883534135,500001
2.475836431226766,500001
2.3956834532374103,500001
1.696629213483146,500001
2.933852140077821,500001
1.6927899686520376,500001
2.504854368932039,500001
2.0228136882129277,500001
2.8072916666666665,500001
2.018181818181818,500001
1.9204244031830238,500001
2.195161290322581,500001
2.5726256983240225,500001
3.355460385438972,500001
2.5760233918128654,500001
2.871143375680581,500001
3.4873949579831933,500001
2.2764900662251657,500001
2.4844961240310077,500001
2.1001926782273603,500001
2.519832985386221,500001
2.591304347826087,500001
1.8529411764705883,500001
12.212765957446809,500001
1.537010159651669,500001
3.084070796460177,500001
1.5794392523364487,500001
2.941823899371069,500001
1.984984984984985,500001
2.5657370517928286,500001
2.7488789237668163,500001
2.7636363636363637,500001
2.8309352517985613,500001
2.0833333333333335,500001
2.3282442748091605,500001
2.545757071547421,500001
2.435,500001
2.7155172413793105,500001
3.091090425531915,500001
2.179422835633626,500001
2.8383838383838382,500001
3.0153374233128836,500001
3.109375,500001
1.9467455621301775,500001
2.232383808095952,500001
1.7401215805471124,500001
1.6427104722792607,500001
2.004016064257028,500001
1.5934702474986835,500001
3.380434782608696,500001
1.5185185185185186,500001
2.5040650406504064,500001
2.6381766381766383,500001
2.3976608187134505,500001
1.4180249280920423,500001
2.5650793650793653,500001
2.129449838187702,500001
2.7716535433070866,500001
2.0443262411347516,500001
2.627296587926509,500001
3.0653753026634383,500001
2.575875486381323,500001
